rank,mode,sample_index,phasenet_default_psnr,phasenet_default_psnr_deviation,phasenet_default_ssim,phasenet_default_ssim_deviation,phasenet_default_lpips,phasenet_default_lpips_deviation,phasenet_default_pce,phasenet_default_pce_deviation,phasenet_big_psnr,phasenet_big_psnr_deviation,phasenet_big_ssim,phasenet_big_ssim_deviation,phasenet_big_lpips,phasenet_big_lpips_deviation,phasenet_big_pce,phasenet_big_pce_deviation,complex_loss_matched_psnr,complex_loss_matched_psnr_deviation,complex_loss_matched_ssim,complex_loss_matched_ssim_deviation,complex_loss_matched_lpips,complex_loss_matched_lpips_deviation,complex_loss_matched_pce,complex_loss_matched_pce_deviation,complex_full_psnr,complex_full_psnr_deviation,complex_full_ssim,complex_full_ssim_deviation,complex_full_lpips,complex_full_lpips_deviation,complex_full_pce,complex_full_pce_deviation,representative_score
1,hard,17,24.557015431437375,0.16806945922671065,0.6782008409500122,0.08468005719842339,0.3337545394897461,0.07455376411789044,1.621772306738317,0.15904123895499686,24.576556775143736,0.1699238117214788,0.6795803308486938,0.08555255013403293,0.3311031460762024,0.07848095589004249,1.6215717843627742,0.15877188672520118,24.57800439006828,0.142032624752872,0.6776002049446106,0.06895153460718162,0.30892661213874817,0.07761238214848484,1.2819149340829716,0.19043153399807958,24.57949805690457,0.14222012343871923,0.6777121424674988,0.0692448550047474,0.30878549814224243,0.07782295840852735,1.2817940216623482,0.19017071987464704,0.12109752851262723
2,hard,14,23.71277892340221,2.7443768910798413e-05,0.6697642803192139,0.046076277660093146,0.3596908450126648,0.08301371872028529,1.7027849740983476,0.3501299383491422,23.740059510834335,0.0035521224272935135,0.6715494990348816,0.04873208787898553,0.35635221004486084,0.07547915401945612,1.703113078043065,0.35086277048367437,23.74409589783078,0.016557115124393434,0.6685436367988586,0.028413462519131707,0.3393803834915161,0.10418680631613479,1.3530160463209693,0.36357085816590007,23.744456540446013,0.01657326639683723,0.6685866117477417,0.028399908439799858,0.33926185965538025,0.10412781697409555,1.3530637215287085,0.3637035198546204,0.12396289169367213
3,hard,78,22.43090081183845,0.25512544216793065,0.5901244878768921,0.3183372700477769,0.36054039001464844,0.0881748496069503,1.5580593413885215,0.008758226680753827,22.508958957788217,0.24130256800661368,0.5971324443817139,0.29246175299763516,0.35571375489234924,0.07158607403934333,1.5551451039429574,0.0022872496649424777,22.31048910885722,0.2891953360634441,0.589018702507019,0.3275478097020867,0.3335699439048767,0.0695003568371039,1.2061767215404489,0.006000341284849569,22.30845286538164,0.28964698415264895,0.5891438722610474,0.3271777066003756,0.3333628475666046,0.06890937979019815,1.2060772123180399,0.005809764858622027,0.16636381953132973
4,hard,56,25.671305456100853,0.389864583894754,0.6946300268173218,0.15985626904244984,0.33442649245262146,0.07047153518006558,1.5955873153285864,0.09727736775821988,25.676104247112278,0.388613792162221,0.6951769590377808,0.15706133936737054,0.3337482213973999,0.062352196119938884,1.5950584852725462,0.0963131885156385,25.570753032768387,0.3308300173623223,0.6915600895881653,0.13143732402695465,0.3013993799686432,0.12254752939373678,1.2633817370636942,0.1453010837760658,25.58384213703897,0.3332084730026905,0.6919968128204346,0.1331815853913264,0.30128318071365356,0.1226134913174463,1.2627607022060643,0.14382696896289032,0.18029729657963073
5,hard,257,22.8184810738651,0.17797908831715853,0.5604956150054932,0.4539122426404249,0.3312861919403076,0.08954939677617788,1.6018481439681345,0.1120451027414912,22.84026407953412,0.17540899593117168,0.5622574687004089,0.45235960112721924,0.32883119583129883,0.09233452724811174,1.6019568107980096,0.11256391727934183,22.789207225802556,0.1981544336771508,0.5578590035438538,0.46702162610606524,0.3175338804721832,0.026229767503172984,1.261025197639909,0.13956264129090099,22.79188688528074,0.19771607381039905,0.5580785274505615,0.4662230276641506,0.317371129989624,0.02656479325297224,1.260872514927536,0.13922946924079244,0.2079284190379188
1,extreme,16,21.452538788900043,0.12143793768913703,0.583695650100708,0.029597759371695433,0.40011972188949585,0.1584823240736991,1.7640265683200222,0.26121896272861383,21.45911975571602,0.12172116227698382,0.5846359729766846,0.028411235396717315,0.3979211449623108,0.15962536006904357,1.7638855539026945,0.2603324699869433,21.452950496099568,0.11043381883037393,0.5822126269340515,0.016849105468461467,0.3786501884460449,0.15002560650873775,1.433692290520827,0.3451264795205342,21.450708478338257,0.10985775665896538,0.5822606682777405,0.01687605476268101,0.37845781445503235,0.15058332142594125,1.433833129258816,0.34554212400128553,0.14913259242311339
2,extreme,11,22.19147630325235,0.2846920537305059,0.5966668128967285,0.08668811290106228,0.44379353523254395,0.10174371367386853,1.7785277911250033,0.2991508032062176,22.19549240461989,0.2843271973132968,0.5978130102157593,0.0865003072465625,0.4405941963195801,0.09534623139092671,1.7785972121944287,0.2987720877167574,22.15999790834792,0.26320849606674823,0.5932230353355408,0.06446032212885837,0.4214158058166504,0.10041801381201082,1.4258874490063362,0.324254769620672,22.16267108596869,0.26368507561568416,0.5933305025100708,0.064740008548299,0.42126888036727905,0.10012351790986235,1.4258456292900903,0.32418443320339985,0.1901434465052958
3,extreme,252,20.28366390605065,0.1368026199442059,0.5690467357635498,0.03487693048312228,0.3614708185195923,0.3887679395806295,1.5549400461593859,0.28570295628982967,20.286641969848148,0.13718574336640954,0.5701302886009216,0.03553498609806531,0.3600582480430603,0.38585626640758375,1.5545160565402885,0.28672234078283076,20.25436299976274,0.14854997026253358,0.5674303770065308,0.04707231128226791,0.35078591108322144,0.3132041347149867,1.1929597608674845,0.29864053522997897,20.25269417732946,0.14898635400204147,0.5672627091407776,0.047972398063614044,0.35070139169692993,0.3131283287195248,1.1930989619083971,0.298154393167773,0.20669738802471233
4,extreme,237,21.96916828696256,0.23557734784077825,0.5471210479736328,0.13137909354940594,0.41857263445854187,0.04853249475545169,1.8374189684172708,0.45319648422432274,21.99985858864318,0.2411272778399844,0.5512134432792664,0.11892717564151711,0.4168722629547119,0.04639238139091891,1.8342230005070566,0.44411491693801225,21.905366325384087,0.20818919010849038,0.5452621579170227,0.14293214168628404,0.4064335227012634,0.012678903405364737,1.4891995792454444,0.4935640903851683,21.90421991544255,0.20784386960687237,0.5451133251190186,0.14374231394014161,0.4063933491706848,0.013010587402975811,1.4897070304496711,0.49494275122861525,0.21475943874651898
5,extreme,15,22.15116079817716,0.2757851136767441,0.5754924416542053,0.006507258940896104,0.4571404457092285,0.18126994149001557,1.799160405751922,0.3531209447032042,22.152492140544943,0.2748318657618741,0.5763336420059204,0.008188395577367995,0.45387589931488037,0.17470444090020504,1.7991329494720913,0.352429253693537,22.123002017265804,0.2552146398963833,0.5718981027603149,0.027752968067543727,0.43628183007240295,0.1874762901399885,1.4720029612082186,0.4475768884329788,22.121990532310555,0.2548955964550678,0.5719459056854248,0.027723106314755313,0.4360869526863098,0.18689996220042224,1.472040877356268,0.4477054132837856,0.2163801299709231
